game_id,season
10500001,2005
10500002,2005
10500003,2005
10500004,2005
10500005,2005
10500006,2005
10500007,2005
10500008,2005
10500009,2005
10500010,2005
10500011,2005
10500012,2005
10500013,2005
10500014,2005
10500015,2005
10500016,2005
10500017,2005
10500018,2005
10500019,2005
10500020,2005
10500021,2005
10500022,2005
10500023,2005
10500025,2005
10500027,2005
10500029,2005
10500030,2005
10500031,2005
10500032,2005
10500033,2005
10500034,2005
10500035,2005
10500036,2005
10500037,2005
10500039,2005
10500040,2005
10500041,2005
10500042,2005
10500043,2005
10500045,2005
10500046,2005
10500048,2005
10500050,2005
10500051,2005
10500052,2005
10500053,2005
10500054,2005
10500055,2005
10500058,2005
10500061,2005
10500062,2005
10500063,2005
10500064,2005
10500065,2005
10500066,2005
10500067,2005
10500068,2005
10500069,2005
10500070,2005
10500071,2005
10500072,2005
10500074,2005
10500075,2005
10500076,2005
10500077,2005
10500078,2005
10500079,2005
10500080,2005
10500081,2005
10500082,2005
10500083,2005
10500084,2005
10500085,2005
10500086,2005
10500087,2005
10500088,2005
10500089,2005
10500090,2005
10500091,2005
10500092,2005
10500093,2005
10500094,2005
10500096,2005
10500097,2005
10500099,2005
10500100,2005
10500101,2005
10500102,2005
10500103,2005
10500105,2005
10500106,2005
10500113,2005
10500114,2005
10500116,2005
10500117,2005
10500119,2005
10500120,2005
10500121,2005
10600001,2006
10600002,2006
10600003,2006
10600004,2006
10600007,2006
10600008,2006
10600009,2006
10600010,2006
10600011,2006
10600012,2006
10600013,2006
10600014,2006
10600015,2006
10600016,2006
10600018,2006
10600019,2006
10600020,2006
10600021,2006
10600022,2006
10600023,2006
10600027,2006
10600028,2006
10600029,2006
10600031,2006
10600033,2006
10600035,2006
10600036,2006
10600037,2006
10600038,2006
10600039,2006
10600040,2006
10600041,2006
10600042,2006
10600043,2006
10600044,2006
10600045,2006
10600046,2006
10600047,2006
10600048,2006
10600049,2006
10600050,2006
10600051,2006
10600052,2006
10600053,2006
10600054,2006
10600055,2006
10600056,2006
10600057,2006
10600059,2006
10600060,2006
10600061,2006
10600062,2006
10600063,2006
10600064,2006
10600065,2006
10600066,2006
10600067,2006
10600068,2006
10600069,2006
10600071,2006
10600072,2006
10600073,2006
10600074,2006
10600075,2006
10600077,2006
10600078,2006
10600079,2006
10600080,2006
10600081,2006
10600082,2006
10600083,2006
10600084,2006
10600085,2006
10600086,2006
10600087,2006
10600088,2006
10600090,2006
10600091,2006
10600095,2006
10600096,2006
10600097,2006
10600098,2006
10600099,2006
10600100,2006
10600101,2006
10600102,2006
10600103,2006
10600104,2006
10600105,2006
10600106,2006
10600107,2006
10600108,2006
10600109,2006
10600110,2006
10600111,2006
10600112,2006
10600113,2006
10600114,2006
10600115,2006
10600116,2006
10600117,2006
10600118,2006
10600119,2006
10600120,2006
10600121,2006
10600122,2006
10700001,2007
10700002,2007
10700003,2007
10700005,2007
10700006,2007
10700007,2007
10700008,2007
10700009,2007
10700011,2007
10700012,2007
10700013,2007
10700014,2007
10700015,2007
10700016,2007
10700017,2007
10700018,2007
10700019,2007
10700020,2007
10700021,2007
10700022,2007
10700023,2007
10700024,2007
10700025,2007
10700026,2007
10700027,2007
10700028,2007
10700029,2007
10700030,2007
10700031,2007
10700032,2007
10700033,2007
10700034,2007
10700035,2007
10700037,2007
10700038,2007
10700039,2007
10700040,2007
10700041,2007
10700042,2007
10700043,2007
